id,programme,title_el,research_question_el,research_question_en,unit,outcome,preferred_models,status
EE1,R&D,Απορρόφηση Δημόσιας Δαπάνης,"Πώς τα οικονομικά, κοινωνικά και ερευνητικά χαρακτηριστικά των Περιφερειών και Νομών επηρεάζουν την απορρόφηση της δημόσιας δαπάνης των ερευνητικών έργων;","How do the economic, social and research characteristics of regions and regional units affect the absorption of public expenditure on research projects?",Region–year,Regional public-expenditure absorption index,Fractional logit; panel FE; Poisson QMLE with clustered SE,Source document
EE2,R&D,Δημιουργία νέων θέσεων ερευνητών,"Πώς τα οικονομικά, κοινωνικά και ερευνητικά χαρακτηριστικά των Περιφερειών και Νομών επηρεάζουν τη δημιουργία νέων θέσεων ερευνητών στα ερευνητικά έργα;","How do the economic, social and research characteristics of regions and regional units affect the creation of new researcher positions in research projects?",Project,New research jobs IPA/FTE,OLS HC3; Poisson/NB robustness; region FE,Source document
EE3,R&D,Συνολική απασχόληση ερευνητών,"Πώς τα χαρακτηριστικά των Περιφερειών επηρεάζουν τη συνολική απασχόληση ερευνητών που δημιουργείται από τα ερευνητικά έργα;","How do regional characteristics affect the total research employment created by research projects?",Project,Total research employment IPA,OLS HC3; Poisson/NB robustness; region FE,Source document
EE4,R&D,Αριθμός ερευνητικών έργων,"Πώς τα οικονομικά και ερευνητικά χαρακτηριστικά των Περιφερειών επηρεάζουν τον αριθμό των ερευνητικών έργων που υλοποιούνται;","How do the economic and research characteristics of regions affect the number of research projects implemented?",Region–year,Number of R&D projects,Poisson FE; negative binomial FE; clustered SE,Source document
EE5,R&D,Συμμετοχή επιχειρήσεων,"Πώς τα περιφερειακά χαρακτηριστικά επηρεάζουν τη συμμετοχή επιχειρήσεων στα ερευνητικά έργα;","How do regional characteristics affect firm participation in research projects?",Project,Number of participating firms,Poisson/NB; OLS HC3 benchmark; project controls,Source document
EE6,R&D,Συνεργασία επιχειρήσεων και ερευνητικών φορέων,"Πώς τα περιφερειακά χαρακτηριστικά επηρεάζουν τη συνεργασία επιχειρήσεων και ερευνητικών φορέων στα ερευνητικά έργα;","How do regional characteristics affect collaboration between firms and research organisations in research projects?",Region–year,Number of collaborative research projects,Poisson FE; negative binomial FE; clustered SE,Source document
EE7,R&D,Παραγωγή διπλωμάτων ευρεσιτεχνίας,"Πώς τα περιφερειακά χαρακτηριστικά επηρεάζουν την παραγωγή διπλωμάτων ευρεσιτεχνίας που προκύπτουν από τα ερευνητικά έργα;","How do regional characteristics affect patent production arising from research projects?",Region–year,Number of patent applications,Poisson FE; negative binomial FE; zero-inflated sensitivity,Source document
EE8,R&D,Δημιουργία spin-offs / spin-outs,"Πώς τα περιφερειακά χαρακτηριστικά επηρεάζουν τη δημιουργία spin-offs και spin-outs που προκύπτουν από τα ερευνητικά έργα;","How do regional characteristics affect the creation of spin-offs and spin-outs arising from research projects?",Region–year,Number of spin-offs/spin-outs,Poisson FE; negative binomial FE; zero-inflated sensitivity,Source document
EE9,R&D,Ωφέλεια ΜΜΕ,"Πώς τα περιφερειακά χαρακτηριστικά επηρεάζουν τον αριθμό των μικρομεσαίων επιχειρήσεων που ωφελούνται από τη συμμετοχή τους σε ερευνητικά έργα;","How do regional characteristics affect the number of SMEs benefiting from participation in research projects?",Region–year,Number of SMEs benefiting,Poisson FE; negative binomial FE; clustered SE,Source document
AT-RQ1,Antonis Tritsis,Χωρική κατανομή,"Πώς κατανέμονται τα εγκεκριμένα έργα και οι προϋπολογισμοί του προγράμματος «Αντώνης Τρίτσης» στις 13 ελληνικές Περιφέρειες;","How are approved projects and budgets under the Antonis Tritsis programme distributed across Greece's 13 regions?",Project/region,Project count and approved budget,Descriptive; concentration indices; GIS; spatial autocorrelation,Reconstructed from dataset scope
