evidence_id,analytical_scope,documented_method,documented_sample_or_unit,implementation_in_app,source_basis
EV1,Public-expenditure absorption,OLS with heteroskedasticity-robust standard errors,Project-level R&D records,OLS Studio with HC0-HC3 HAC or clustered covariance,Supplied Attica and whole-country Stata specifications
EV2,New research jobs and total research employment,Log-linear OLS with robust standard errors,Attica project-level models,OLS Studio plus coefficient diagnostics and publication bundle,Supplied research-employment manuscripts and analysis basis
EV3,Patents and spin-offs,Parsimonious log-linear OLS with robust standard errors,"1,435 Attica projects in the supplied manuscript",OLS Studio with robust covariance and Monte Carlo stability analysis,Supplied Economics and Business Letters manuscripts
EV4,Regional EE1 and EE4-EE9,Poisson fixed effects with region/year effects and clustered inference; negative-binomial robustness,Region-year panel,Original R&D regional panel plus detailed count estimators,Supplied region-year R and Stata specifications
EV5,R&D project portfolio uncertainty,Multiple-criteria analysis mathematical programming and Monte Carlo simulation,R&D project portfolio,Stochastic cost-benefit portfolio selection with selection probabilities,"Mavrotas and Makryvelios (2021), European Journal of Operational Research 291(2), 794-806"
EV6,Spatial regional heterogeneity,Regional comparisons clustering and prospective spatial diagnostics,Greek NUTS regions,Detailed Greece GIS Moran/LISA and colour/monochrome publication maps,Supplied regional manuscripts and new data-analysis basis
EV7,Absorption-based project and regional typologies,Unsupervised clustering with sensitivity to scaling and cluster number,Project or region-level numeric indicators,One-dimensional and multivariate K-means hierarchical Gaussian-mixture and DBSCAN with internal validation,Supplied regional heterogeneity and cluster-analysis discussion
EV8,Longitudinal regional relationships,Pooled fixed-effects and random-effects panel comparison with clustered inference,Entity-time analytical cells,Panel model laboratory with two-way FE RE and Hausman testing,Supplied region-year analytical specifications
EV9,Predictive robustness,Out-of-sample comparison of linear regularised and nonlinear models,Continuous project or regional outcomes,Predictive laboratory with cross-validation and permutation importance,Postdoctoral robustness extension beyond the supplied baseline models
EV10,Renewable-energy project prioritisation,Multi-criteria value theory with explicit criterion weighting and regional/technology comparisons,"1,328 positively assessed renewable-energy proposals across thirteen Greek regions",Dedicated MCDA Engine with MAVT AHP weights sensitivity analysis and auditable rankings,Supplied 2011 postgraduate dissertation on multi-criteria evaluation of renewable-energy investments
EV11,Renewable-energy financial environmental and policy trade-offs,"Capacity factor IRR payback ROI benefit-cost avoided emissions employment and tariff sensitivity",Renewable-energy projects compared by technology and Greek region,"MCDA criteria configuration TOPSIS PROMETHEE-II objective weights Monte Carlo rank acceptability and publication bundles",Supplied 2012 postgraduate dissertation on renewable energy and support mechanisms
